,filename,x,y,w,h,images
0,1.jpg,354,156,199,483,"[[[143 142 124]
  [143 142 124]
  [143 142 124]
  ...
  [ 37  36  41]
  [ 38  36  39]
  [ 37  35  38]]

 [[143 142 124]
  [143 142 124]
  [143 142 124]
  ...
  [ 36  35  40]
  [ 38  36  39]
  [ 36  34  37]]

 [[143 142 124]
  [143 142 124]
  [143 142 124]
  ...
  [ 35  34  39]
  [ 36  34  37]
  [ 36  34  37]]

 ...

 [[ 12  12  10]
  [ 15  15  13]
  [ 18  18  16]
  ...
  [134 132 111]
  [129 127 104]
  [122 120  97]]

 [[ 13  13  11]
  [ 17  17  15]
  [ 21  21  19]
  ...
  [136 134 113]
  [130 128 105]
  [122 120  97]]

 [[ 14  14  12]
  [ 18  18  16]
  [ 22  22  20]
  ...
  [137 135 114]
  [131 129 106]
  [122 120  97]]]"
1,1.jpg,320,663,325,158,"[[[143 142 124]
  [143 142 124]
  [143 142 124]
  ...
  [ 37  36  41]
  [ 38  36  39]
  [ 37  35  38]]

 [[143 142 124]
  [143 142 124]
  [143 142 124]
  ...
  [ 36  35  40]
  [ 38  36  39]
  [ 36  34  37]]

 [[143 142 124]
  [143 142 124]
  [143 142 124]
  ...
  [ 35  34  39]
  [ 36  34  37]
  [ 36  34  37]]

 ...

 [[ 12  12  10]
  [ 15  15  13]
  [ 18  18  16]
  ...
  [134 132 111]
  [129 127 104]
  [122 120  97]]

 [[ 13  13  11]
  [ 17  17  15]
  [ 21  21  19]
  ...
  [136 134 113]
  [130 128 105]
  [122 120  97]]

 [[ 14  14  12]
  [ 18  18  16]
  [ 22  22  20]
  ...
  [137 135 114]
  [131 129 106]
  [122 120  97]]]"
2,2.jpg,637,498,240,212,"[[[253 252 250]
  [253 252 250]
  [253 252 250]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 [[253 252 250]
  [253 252 250]
  [253 252 250]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 ...

 [[156 147 132]
  [156 147 132]
  [157 148 133]
  ...
  [ 13  12  10]
  [ 12  11   9]
  [ 12  11   9]]

 [[153 144 129]
  [154 145 130]
  [155 146 131]
  ...
  [ 14  13  11]
  [ 13  12  10]
  [ 13  12  10]]

 [[152 143 128]
  [153 144 129]
  [154 145 130]
  ...
  [ 14  13  11]
  [ 14  13  11]
  [ 14  13  11]]]"
3,2.jpg,620,834,190,87,"[[[253 252 250]
  [253 252 250]
  [253 252 250]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 [[253 252 250]
  [253 252 250]
  [253 252 250]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 ...

 [[156 147 132]
  [156 147 132]
  [157 148 133]
  ...
  [ 13  12  10]
  [ 12  11   9]
  [ 12  11   9]]

 [[153 144 129]
  [154 145 130]
  [155 146 131]
  ...
  [ 14  13  11]
  [ 13  12  10]
  [ 13  12  10]]

 [[152 143 128]
  [153 144 129]
  [154 145 130]
  ...
  [ 14  13  11]
  [ 14  13  11]
  [ 14  13  11]]]"
4,2.jpg,634,716,214,43,"[[[253 252 250]
  [253 252 250]
  [253 252 250]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 [[253 252 250]
  [253 252 250]
  [253 252 250]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 [[252 252 252]
  [252 252 252]
  [252 252 252]
  ...
  [228 229 234]
  [228 229 234]
  [228 229 234]]

 ...

 [[156 147 132]
  [156 147 132]
  [157 148 133]
  ...
  [ 13  12  10]
  [ 12  11   9]
  [ 12  11   9]]

 [[153 144 129]
  [154 145 130]
  [155 146 131]
  ...
  [ 14  13  11]
  [ 13  12  10]
  [ 13  12  10]]

 [[152 143 128]
  [153 144 129]
  [154 145 130]
  ...
  [ 14  13  11]
  [ 14  13  11]
  [ 14  13  11]]]"
5,3.jpg,140,464,387,152,"[[[ 30  43  33]
  [ 30  43  33]
  [ 30  43  33]
  ...
  [ 20  13   7]
  [ 22  13   6]
  [ 24  13   7]]

 [[ 30  43  33]
  [ 30  43  33]
  [ 29  42  32]
  ...
  [ 18  13   7]
  [ 22  13   6]
  [ 24  13   7]]

 [[ 29  42  33]
  [ 29  42  33]
  [ 29  42  33]
  ...
  [ 18  13   7]
  [ 22  13   6]
  [ 23  14   7]]

 ...

 [[150 126  98]
  [156 135 106]
  [156 135 108]
  ...
  [110 123 142]
  [114 120 142]
  [115 120 142]]

 [[141 117  89]
  [149 128  99]
  [149 128 101]
  ...
  [111 124 143]
  [115 121 143]
  [116 121 143]]

 [[135 111  83]
  [144 123  94]
  [145 124  97]
  ...
  [111 124 143]
  [115 121 143]
  [116 121 143]]]"
6,3.jpg,86,67,164,62,"[[[ 30  43  33]
  [ 30  43  33]
  [ 30  43  33]
  ...
  [ 20  13   7]
  [ 22  13   6]
  [ 24  13   7]]

 [[ 30  43  33]
  [ 30  43  33]
  [ 29  42  32]
  ...
  [ 18  13   7]
  [ 22  13   6]
  [ 24  13   7]]

 [[ 29  42  33]
  [ 29  42  33]
  [ 29  42  33]
  ...
  [ 18  13   7]
  [ 22  13   6]
  [ 23  14   7]]

 ...

 [[150 126  98]
  [156 135 106]
  [156 135 108]
  ...
  [110 123 142]
  [114 120 142]
  [115 120 142]]

 [[141 117  89]
  [149 128  99]
  [149 128 101]
  ...
  [111 124 143]
  [115 121 143]
  [116 121 143]]

 [[135 111  83]
  [144 123  94]
  [145 124  97]
  ...
  [111 124 143]
  [115 121 143]
  [116 121 143]]]"
7,4.jpg,428,110,377,849,"[[[172 170 181]
  [172 170 181]
  [172 170 181]
  ...
  [162 151 155]
  [162 151 155]
  [162 151 155]]

 [[172 170 181]
  [172 170 181]
  [172 170 181]
  ...
  [162 151 155]
  [162 151 155]
  [162 151 155]]

 [[173 171 182]
  [173 171 182]
  [173 171 182]
  ...
  [163 152 156]
  [163 152 156]
  [163 152 156]]

 ...

 [[113 106 100]
  [113 106 100]
  [113 106 100]
  ...
  [ 37  31  33]
  [ 37  31  33]
  [ 37  31  33]]

 [[113 106 100]
  [114 107 101]
  [115 108 102]
  ...
  [ 37  31  33]
  [ 37  31  33]
  [ 37  31  33]]

 [[113 106 100]
  [115 108 102]
  [117 110 104]
  ...
  [ 37  31  33]
  [ 37  31  33]
  [ 37  31  33]]]"
8,4.jpg,724,170,62,63,"[[[172 170 181]
  [172 170 181]
  [172 170 181]
  ...
  [162 151 155]
  [162 151 155]
  [162 151 155]]

 [[172 170 181]
  [172 170 181]
  [172 170 181]
  ...
  [162 151 155]
  [162 151 155]
  [162 151 155]]

 [[173 171 182]
  [173 171 182]
  [173 171 182]
  ...
  [163 152 156]
  [163 152 156]
  [163 152 156]]

 ...

 [[113 106 100]
  [113 106 100]
  [113 106 100]
  ...
  [ 37  31  33]
  [ 37  31  33]
  [ 37  31  33]]

 [[113 106 100]
  [114 107 101]
  [115 108 102]
  ...
  [ 37  31  33]
  [ 37  31  33]
  [ 37  31  33]]

 [[113 106 100]
  [115 108 102]
  [117 110 104]
  ...
  [ 37  31  33]
  [ 37  31  33]
  [ 37  31  33]]]"
9,5.jpg,192,248,483,428,"[[[175 183 185]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 52  56  57]
  [ 53  57  58]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 ...

 [[ 97  99  85]
  [100 102  88]
  [102 104  90]
  ...
  [ 34  39  33]
  [ 35  40  34]
  [ 36  41  35]]

 [[ 93  95  81]
  [ 96  98  84]
  [ 99 101  87]
  ...
  [ 31  36  30]
  [ 32  37  31]
  [ 33  38  32]]

 [[ 92  94  80]
  [ 95  97  83]
  [ 98 100  86]
  ...
  [ 30  35  29]
  [ 30  35  29]
  [ 31  36  30]]]"
